,revenue,counts,name
6452,18.88603922453946,9,Dentsu
10105,18.431394723325873,7,Apatow Productions
10405,15.92823952974635,10,Emmett/Furla Films
181,15.591311770157612,9,Channel Four Films
158,18.075588025670122,17,Spyglass Entertainment
10282,17.399600357226657,7,Silver Screen Partners IV
13549,15.97862021641397,7,Golan-Globus Productions
4171,17.92924043001286,7,Playtone
562,18.05790682340461,9,Appian Way
171,16.340953330937513,10,Malpaso Productions
10039,17.19447211107155,8,Anonymous Content
1302,17.914278361890357,11,Davis Entertainment
258,17.168505381195338,14,Scott Rudin Productions
435,19.309015026436338,9,Di Bonaventura Pictures
1755,14.223595100470158,6,Allied Filmmakers
6735,16.144794102098174,19,Participant Media
248,18.489326406991374,7,Impact Pictures
729,15.262557744582077,6,Why Not Productions
10611,14.171494147229266,9,Ciné+
675,17.750092169575314,6,Forward Pass
2320,15.763203689455963,7,UTV Motion Pictures
10146,16.365527938592294,21,Focus Features
436,19.062800867302027,6,1492 Pictures
9335,16.036348386340833,11,Canal+ España
9996,18.481166472622565,6,Syncopy
13184,17.72874716756966,7,Annapurna Pictures
41077,14.92696598396844,7,A24
289,17.935237946797724,11,Ingenious Film Partners
826,14.74811173184512,6,Capitol Films
10339,16.01829178301927,6,WWE Studios
347,17.84772681036331,6,Centropolis Entertainment
54502,17.61177179128028,8,Mel's Cite du Cinema
2481,18.86346367210609,8,Platinum Dunes
1645,18.01266017200943,11,Scott Free Productions
10932,15.515802680259807,9,The Criterion Collection
11391,17.03804484868944,9,Tribeca Productions
7294,15.344590987811655,6,Reliance Entertainment
2188,15.773406776502352,7,Artisan Entertainment
9993,18.82627162477325,7,DC Entertainment
1,18.505104083898473,8,Lucasfilm
34034,18.574256711616346,8,LStar Capital
737,15.012030124675947,9,Sidney Kimmel Entertainment
3281,18.818672159832413,6,GK Films
53009,16.78587490504562,9,Miramax
6,14.0982877656809,6,RKO Radio Pictures
856,14.648571172350625,11,Wild Bunch
58,15.410686338726947,6,Sony Pictures Classics
6736,16.213145593840352,7,Imagenation Abu Dhabi FZ
1216,14.975473592829537,6,Dino de Laurentiis Cinematografica
521,19.6560775530269,6,DreamWorks Animation
932,16.1637489728669,7,Mirage Enterprises
70,16.736767456184555,12,American Zoetrope
429,18.75403339005886,7,DC Comics
7493,15.552050001330938,6,FilmNation Entertainment
174,17.54436674963235,6,Warner Bros. Pictures
35,16.26084123678452,13,Lions Gate Films
829,17.96633051004992,7,Vertigo Entertainment
5219,19.397468494619,6,Sunswept Entertainment
3929,17.824223860433392,6,Robert Simonds Productions
7263,16.904457168067058,6,FilmDistrict
8,15.194578460196032,7,Fine Line Features
10893,18.845693016650063,7,Big Screen Productions
3045,18.685792400344354,8,Sony Pictures Releasing
22213,19.19285152895439,16,TSG Entertainment
1268,15.230217497260556,6,Focus Films
1504,16.999427874137787,8,Cinergi Pictures Entertainment
10308,17.3347800125005,8,Dino De Laurentiis Company
130,19.983681919091627,7,Jerry Bruckheimer Films
420,18.74348345404558,8,Marvel Studios
76043,19.72684204904842,8,Revolution Sun Studios
7981,16.490920761849093,6,Pathé
2527,17.09925429614774,6,Marc Platt Productions
746,18.19052092510401,6,MTV Films
13,16.94757936690518,8,Universal Studios
134,17.355976745659564,6,Rogue Pictures
